Date,Time,League,Home,Away,Diff_HT_P,Diff_Power,OU_Total,Odd_H,Odd_D,Odd_A
01-08-2025,11:00,Finland Veikkausliga  ,Vaasa VPS,IFK Mariehamn,-11.1375,-22.3875,-34.3,1.55,4.1,5
01-08-2025,12:00,Lithuania - 1.Division  ,FK Riteriai,FK Panevezys,-0.664545455,2.884545455,28.7,3.75,4.33,1.65
01-08-2025,13:00,Sweden Superettan  ,Orebro,IK Oddevold,-4.29,-64.18857143,-11.4,2.35,3.3,3
01-08-2025,14:00,Peru Primera Division  ,Los Chankas,Comerciantes Unidos,-26.41777778,-13.73555556,20.5,1.67,3.6,5.25
01-08-2025,14:45,Ireland First Division  ,UC Dublin,Dundalk,-10.07833333,-32.53166667,-28.5,4.2,3.5,1.75
01-08-2025,14:45,Ireland First Division  ,Kerry FC,Athlone Town,-8.988939394,11.65,-25.7,2.55,3.25,2.55
01-08-2025,14:45,Ireland First Division  ,Wexford (Youth),Finn Harps,10.30363636,-16.21151515,-8.2,2,3.4,3.3
01-08-2025,14:45,Ireland First Division  ,Cobh Ramblers,Longford Town,-10.71727273,2.911818182,9.86,1.45,4.2,6
01-08-2025,14:45,Ireland First Division  ,Bray Wanderers,Treaty United,35.02666667,27.53,21.5,2.15,3.4,3.1
01-08-2025,14:45,Ireland Premier Division  ,Cork City,Galway United,-11.51307692,10.64,-13.18,3,3.25,2.3
01-08-2025,14:45,Ireland Premier Division  ,Bohemians,Drogheda United,-41.63910256,4.146538462,-15.5,1.53,4,6
01-08-2025,15:00,Chile Primera B  ,Santiago Morning,Deportes Recoleta,43.32142857,7.385714286,-20.42,2.63,3.25,2.45
01-08-2025,16:15,Peru Primera Division  ,Alianza Atletico Sullana,FBC Melgar,-15,33,4,2.3,3.1,3.2
01-08-2025,17:00,Primera Division de Venezuela  ,Zamora Barinas,Yaracuyanos,3.8125,-3.6875,-9.3,1.75,3.5,4
01-08-2025,17:00,Colombia Primera B  ,Inter Palmira,Deportes Quindio,0.874166667,14.6825,3.18,1.62,3.7,5.25
01-08-2025,18:00,Brazil Serie B  ,Remo Belem (PA),Ferroviaria SP,-2.88,15.17,-4,1.9,3.2,4.2
01-08-2025,19:00,Primera Division de Colombiano-Apertura  ,La Equidad,Union Magdalena,-19.47909091,0.03,-4.01,1.95,3.5,3.7
01-08-2025,19:00,Chile Primera Division  ,Audax Italiano,Palestino,-44.77166667,16.08583333,9,2.55,3.2,2.7
01-08-2025,19:00,Uruguay Primera Division  ,CA Penarol,Club Atletico Progreso,-7.668181818,2.210909091,-10.3,1.25,5.75,9.5
01-08-2025,19:30,Primera Division de Venezuela  ,Deportivo La Guaira,Academia Anzoategui,-16.17454545,-2.539090909,-4.6,1.53,3.5,6.25
01-08-2025,20:00,Primera Division de Ecuador  ,Deportivo Cuenca,Macara,-10.62545455,0.16,-23.94,1.85,3.4,4.1
01-08-2025,20:00,Peru Primera Division  ,Deportivo Garcilaso,Cienciano,-17.91,-11.86,-6,2.9,3.3,2.25
01-08-2025,20:30,USL Championship  ,FC Tulsa,Loudoun United,-26.1875,-3.675,15.7,1.75,3.6,4
01-08-2025,20:30,Brazil Serie B  ,Operario Ferroviario PR,Criciuma,-19.91777778,-19.89222222,19.19,2.2,3.1,3.3
01-08-2025,21:00,USL Championship  ,Colorado Springs Switchbacks FC,Lexington,-30.27166667,-17.73583333,-30.5,1.75,3.5,4.2
01-08-2025,21:10,Primera Division de Colombiano-Apertura  ,Deportivo Pasto,Envigado FC,-5.314545455,13.82272727,0.76,1.65,3.3,6
