Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_H_Asi,Asian_Line,Odd_A_Asi,Odd_Over25,OverLine,Odd_Under25,Result,Games_Home,Games_Away,Aggression_Home_HT,HandScore_Home_HT,Aggression_Away_HT,HandScore_Away_HT,Aggression_Home,HandScore_Home,OverScore_Home,Aggression_Away,HandScore_Away,OverScore_Away,Diff_HT_P,Diff_Power,OU_Total,M_HT_H,M_H,M_HT_A,M_A,Diff_MHT_Abs,Diff_MFT_Abs,M_Adv_HT,M_Adv_FT
2862089,2025-10-02,12:45,UEFA Europa League  ,FC Viktoria Plzen,Malmo FF,1.95,3.5,3.9,0.9,0.5,0.95,2.0,2.5/3,1.85,D,5.0,12.0,1.0,26.0,0.6666666666666666,25.8,1.0,-34.0,0.0,0.75,6.669999999999996,0.1932574619052465,0.1999999999999993,-40.669999999999995,0.1932574619052465,0.9486457583991903,-1.438738132850008,0.9620132620996923,0.31474030333990183,0.013367503700501993,1.7534784361899098,Away,Away
2862172,2025-10-02,15:00,UEFA Conference League  ,AC Sparta Prague,Shamrock Rovers,1.22,6.0,12.0,0.8,1.5/2,1.0,1.93,2.5/3,1.88,D,5.0,16.0,1.0,-20.0,0.625,-18.100000000000005,1.0,0.0,0.3755282641185388,0.75,5.6599999999999975,0.357464427565077,-1.899999999999995,-5.6599999999999975,0.7329926916836158,,,-1.3206466063150313,1.0349910387775498,,,Even,Even
2862192,2025-10-02,15:00,UEFA Conference League  ,Shelbourne,Hacken,3.7,3.7,1.9,0.95,-0.5,0.85,1.88,2.5,1.93,D,16.0,12.0,0.5625,-11.84,-0.25,6.669999999999996,0.5,3.1000000000000005,0.3011663015105079,-0.25,4.19,0.1077892874862118,-18.509999999999998,-1.0899999999999999,0.4089555889967197,-0.5312931520974051,-0.29800786443966304,-0.2622655135666578,0.11394244038367574,0.26902763853074735,0.4119503048233388,Away,Away
2882570,2025-10-02,15:00,Copa LFPB  ,Oriente Petrolero,The Strongest,2.5,3.1,2.75,0.98,0,0.83,1.85,3/3.5,1.95,D,11.0,12.0,0.8181818181818182,23.599999999999994,0.1666666666666666,-4.170000000000004,0.8181818181818182,8.190000000000001,0.3057378545838018,0.1666666666666666,4.19,0.2365895936154873,27.77,4.000000000000001,0.5423274481992891,1.411853570659882,-0.04233576033704903,-0.25720278488119,-0.12031722815997098,1.669056355541072,0.07798146782292195,Home,Home
2868895,2025-10-02,17:00,Argentina Cup  ,Racing Club,River Plate,2.8,3.0,2.6,0.93,0/-0.5,0.88,2.03,2/2.5,1.78,D,14.0,12.0,0.8571428571428571,7.149999999999999,0.75,-9.99,0.9285714285714286,2.899999999999995,0.1770944658123681,0.9166666666666666,-4.170000000000004,0.1077892874862118,17.14,7.069999999999999,0.2848837532985799,0.8605056480984087,0.8275129588945042,-1.2886344308384534,-0.8147540739712368,2.149140078936862,1.642267032865741,Home,Home
2734964,2025-10-02,18:00,Brazil Serie A  ,Vitoria BA,Ceara,2.4,3.0,3.25,1.1,0/0.5,0.78,1.93,2,1.93,A,12.0,11.0,0.0833333333333333,12.489999999999997,-0.8181818181818182,35.43,0.1666666666666666,10.0,0.2537781703934222,-1.0,23.599999999999994,0.2800877556899882,-22.940000000000005,-13.599999999999994,0.5338659260834104,0.084941804721531,0.22175385537548678,1.085169187696886,0.03670264946405987,1.0002273829753552,0.1850512059114269,Away,Home
2745129,2025-10-02,18:00,Brazil Serie B  ,SC Paysandu Para,Cuiaba,2.7,3.1,2.7,0.75,0,1.05,1.8,2,2.0,A,14.0,15.0,0.4285714285714285,-17.9,-0.5333333333333333,-0.7000000000000064,0.7142857142857143,-23.57,0.1770944658123681,-0.8,15.309999999999995,0.3126695474501863,-17.199999999999992,-38.879999999999995,0.4897640132625544,-1.0529723443213026,-1.1209855813520369,-0.5610432783192527,0.39106288782218473,0.4919290660020499,1.5120484691742215,Away,Away
2882571,2025-10-02,18:00,Copa LFPB  ,Aurora,Blooming,2.25,3.0,3.4,0.78,0/0.5,1.03,1.8,2.5/3,2.0,H,11.0,11.0,0.7272727272727273,-9.970000000000002,-0.5454545454545454,29.059999999999995,0.7272727272727273,14.499999999999996,0.2666473457440296,-0.6363636363636364,10.92,0.3967732199795652,-39.03,3.5799999999999965,0.6634205657235948,-0.2518261202616231,1.1497002498214401,1.9789192919421863,1.2108305856681678,2.2307454122038095,0.06113033584672767,Away,Away
2734958,2025-10-02,18:30,Brazil Serie A  ,Fortaleza,Sao Paulo,2.75,3.1,2.75,0.93,0,0.93,1.98,2/2.5,1.88,D,13.0,12.0,0.4615384615384615,8.470000000000002,-0.6666666666666666,34.2,0.5384615384615384,3.0799999999999974,0.1932574619052465,-0.6666666666666666,12.489999999999997,0.2127095754398804,-25.73,-9.41,0.4059670373451269,0.5446434119831828,-0.6875665783686185,1.8889619874519883,0.999798407502183,1.3443185754688054,1.6873649858708015,Away,Away
2734957,2025-10-02,19:30,Brazil Serie A  ,Flamengo,Cruzeiro,1.57,4.0,6.0,0.98,0.5/1,0.88,1.98,2/2.5,1.88,D,13.0,12.0,1.0,6.200000000000003,-0.3333333333333333,17.5,1.0,8.470000000000002,0.1770944658123681,-0.5,15.01,0.1582169222626268,-11.299999999999997,-6.539999999999997,0.3353113880749949,0.2940239124800721,1.1371465457723076,0.685282269818723,0.596149961473051,0.3912583573386509,0.5409965842992566,Away,Home
